Price,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,AAPL,GOOG,META,MSFT,AAPL,GOOG,META,MSFT,AAPL,GOOG,META,MSFT,AAPL,GOOG,META,MSFT,AAPL,GOOG,META,MSFT,AAPL,GOOG,META,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-01,20.680438995361328,29.020709991455078,67.92042541503906,35.641563415527344,23.3799991607666,29.053733825683594,68.05999755859375,41.869998931884766,23.517499923706055,29.139995574951172,68.44000244140625,42.150001525878906,23.282499313354492,28.753557205200195,67.38999938964844,41.689998626708984,23.3799991607666,28.836828231811523,67.58000183105469,41.86000061035156,152892000,28959290,33243000,26917000
2014-07-02,20.671586990356445,29.004024505615234,66.31372833251953,35.667091369628906,23.3700008392334,29.037029266357422,66.44999694824219,41.900001525878906,23.514999389648438,29.19185447692871,68.30000305175781,41.900001525878906,23.272499084472656,28.940044403076172,65.79000091552734,41.529998779296875,23.467500686645508,29.0876407623291,68.04000091552734,41.72999954223633,113860000,21127848,41895000,20208100
2014-07-03,20.793212890625,29.123310089111328,66.15406036376953,35.58197021484375,23.50749969482422,29.156450271606445,66.29000091552734,41.79999923706055,23.524999618530273,29.170412063598633,67.0,41.9900016784668,23.299999237060547,28.966472625732422,65.76000213623047,41.560001373291016,23.417499542236328,29.0876407623291,66.86000061035156,41.90999984741211,91567200,14283107,25203200,15969300
2014-07-07,21.222211837768555,28.999788284301758,65.15611267089844,35.74372482299805,23.99250030517578,29.03278923034668,65.29000091552734,41.9900016784668,23.997499465942383,29.24121856689453,66.56999969482422,42.119998931884766,23.524999618530273,28.90015411376953,65.12000274658203,41.709999084472656,23.53499984741211,29.108083724975586,66.30000305175781,41.75,225872000,21292298,28745000,21952400
2014-07-08,21.085107803344727,28.443950653076172,62.63129806518555,35.564945220947266,23.837499618530273,28.476318359375,62.7599983215332,41.779998779296875,24.200000762939453,28.897062301635742,65.55999755859375,42.0,23.479999542236328,28.229246139526367,62.209999084472656,41.61000061035156,24.0674991607666,28.803918838500977,65.05999755859375,41.869998931884766,260888000,38190565,68926000,31218200
2014-07-09,21.09395408630371,28.692485809326172,64.83676147460938,35.4713134765625,23.84749984741211,28.725135803222656,64.97000122070312,41.66999816894531,23.987499237060547,28.757047653198242,65.12000274658203,41.9900016784668,23.690000534057617,28.390853881835938,63.150001525878906,41.529998779296875,23.860000610351562,28.500751495361328,63.40999984741211,41.97999954223633,145744000,22335153,51432000,18445900
2014-07-10,21.016559600830078,28.444448471069336,64.73696899414062,35.48832702636719,23.760000228881836,28.476816177368164,64.87000274658203,41.689998626708984,23.887500762939453,28.750564575195312,65.33999633789062,42.0,23.3799991607666,28.17315101623535,63.04999923706055,41.04999923706055,23.440000534057617,28.218027114868164,63.310001373291016,41.369998931884766,158744000,27134293,44422000,21854700
2014-07-11,21.05635643005371,28.84688377380371,66.20394897460938,35.82883834838867,23.80500030517578,28.879711151123047,66.33999633789062,42.09000015258789,23.97249984741211,28.962982177734375,66.58999633789062,42.09000015258789,23.71500015258789,28.492773056030273,64.79000091552734,41.47999954223633,23.84000015258789,28.5172061920166,65.27999877929688,41.70000076293945,136072000,32434806,39212000,24083000
2014-07-14,21.32835578918457,29.130281448364258,67.76075744628906,35.87139129638672,24.112499237060547,29.16343116760254,67.9000015258789,42.13999938964844,24.22249984741211,29.18038558959961,68.16999816894531,42.45000076293945,23.912500381469727,28.822368621826172,66.9000015258789,42.040000915527344,23.96500015258789,29.050243377685547,67.12999725341797,42.220001220703125,171240000,37081529,38537000,21881100
2014-07-15,21.07847785949707,29.12579917907715,67.03225708007812,36.13528060913086,23.829999923706055,29.15894317626953,67.16999816894531,42.45000076293945,24.212499618530273,29.210054397583008,68.08999633789062,42.470001220703125,23.75749969482422,28.749069213867188,66.26000213623047,42.029998779296875,24.200000762939453,29.20681381225586,67.95999908447266,42.33000183105469,181911600,32460877,44213200,28748700
2014-07-16,20.959062576293945,29.02021026611328,67.52125549316406,37.52280807495117,23.69499969482422,29.053234100341797,67.66000366210938,44.08000183105469,24.274999618530273,29.339448928833008,67.94000244140625,44.310001373291016,23.684999465942383,29.030296325683594,67.06999969482422,42.47999954223633,24.24250030517578,29.319503784179688,67.54000091552734,42.5099983215332,213585200,27942506,29541600,63318000
2014-07-17,20.585344314575195,28.575439453125,66.27381134033203,37.90587615966797,23.272499084472656,28.60795783996582,66.41000366210938,44.529998779296875,23.81999969482422,28.96996307373047,67.8499984741211,45.709999084472656,23.142499923706055,28.352657318115234,66.04000091552734,44.25,23.75749969482422,28.89716339111328,67.02999877929688,45.45000076293945,229192000,60331186,38188000,82180300
2014-07-18,20.881662368774414,29.63880729675293,68.2796859741211,38.04206848144531,23.607500076293945,29.672534942626953,68.41999816894531,44.689998626708984,23.684999465942383,29.758298873901367,68.45999908447266,44.84000015258789,23.2549991607666,29.02032470703125,66.16000366210938,44.25,23.405000686645508,29.568819046020508,66.80000305175781,44.650001525878906,199952000,80283816,42456000,43407500
2014-07-21,20.77330780029297,29.359392166137695,69.25768280029297,38.16975784301758,23.485000610351562,29.39280128479004,69.4000015258789,44.84000015258789,23.75,29.638626098632812,69.95999908447266,45.15999984741211,23.43000030517578,29.18153190612793,68.5,44.220001220703125,23.747499465942383,29.50649070739746,68.80999755859375,44.560001373291016,156316000,41242922,49539000,37604400
2014-07-22,20.94579315185547,29.621871948242188,69.12794494628906,38.16123580932617,23.68000030517578,29.655580520629883,69.2699966430664,44.83000183105469,23.72249984741211,29.900407791137695,69.7699966430664,45.150001525878906,23.530000686645508,29.449146270751953,68.61000061035156,44.59000015258789,23.670000076293945,29.45513153076172,69.76000213623047,45.0,220788000,33983045,40398000,43095800
2014-07-23,21.49199104309082,29.683631896972656,71.14380645751953,38.19528579711914,24.297500610351562,29.717411041259766,71.29000091552734,44.869998931884766,24.469999313354492,29.81065559387207,71.33000183105469,45.45000076293945,23.792499542236328,29.543886184692383,69.61000061035156,44.619998931884766,23.854999542236328,29.58028793334961,69.73999786376953,45.45000076293945,371672000,24663528,78435000,52362900
2014-07-24,21.45661163330078,29.552640914916992,74.82624053955078,37.79521179199219,24.25749969482422,29.586271286010742,74.9800033569336,44.400001525878906,24.329999923706055,29.892929077148438,76.73999786376953,45.0,24.104999542236328,29.50748634338379,74.51000213623047,44.31999969482422,24.260000228881836,29.740846633911133,75.95999908447266,44.93000030517578,182916000,20702684,124168000,30725300
2014-07-25,21.5981388092041,29.336978912353516,75.03580474853516,37.880313873291016,24.417499542236328,29.370363235473633,75.19000244140625,44.5,24.459999084472656,29.511974334716797,75.66999816894531,44.65999984741211,24.15999984741211,29.271135330200195,74.66000366210938,44.29999923706055,24.212499618530273,29.43917465209961,74.98999786376953,44.29999923706055,173876000,18649061,45917000,26737700
2014-07-28,21.896671295166016,29.415672302246094,74.766357421875,37.429176330566406,24.7549991607666,29.449146270751953,74.91999816894531,43.970001220703125,24.809999465942383,29.543886184692383,75.5,44.5099983215332,24.387500762939453,29.1575984954834,73.8499984741211,43.93000030517578,24.454999923706055,29.322994232177734,75.16999816894531,44.36000061035156,221272000,19736037,41725000,29684200
